timestamp,medianEnergy,RunPeriod
1.542e+09,2.5079e-06,21/10/2018
1.542e+09,2.7499e-06,21/10/2018
1.542e+09,2.8581e-06,21/10/2018
1.542e+09,2.8603e-06,21/10/2018
1.542e+09,2.7725e-06,21/10/2018
1.542e+09,2.9851e-06,21/10/2018
1.542e+09,2.9655e-06,21/10/2018
1.542e+09,3.0983e-06,21/10/2018
1.542e+09,2.9771e-06,21/10/2018
1.542e+09,2.8482e-06,21/10/2018
1.542e+09,3.108e-06,21/10/2018
1.542e+09,2.5652e-06,21/10/2018
1.542e+09,2.5582e-06,21/10/2018
1.542e+09,2.887e-06,21/10/2018
1.542e+09,2.8058e-06,21/10/2018
1.542e+09,2.7164e-06,21/10/2018
1.542e+09,2.492e-06,21/10/2018
1.542e+09,2.9684e-06,21/10/2018
1.542e+09,3.0393e-06,21/10/2018
1.542e+09,2.7698e-06,21/10/2018
1.542e+09,2.7632e-06,21/10/2018
1.542e+09,3.0033e-06,21/10/2018
1.542e+09,2.9787e-06,21/10/2018
1.542e+09,2.8593e-06,21/10/2018
1.542e+09,3.1377e-06,21/10/2018
1.542e+09,2.746e-06,21/10/2018
1.542e+09,2.6554e-06,21/10/2018
1.542e+09,2.7697e-06,21/10/2018
1.542e+09,2.757e-06,21/10/2018
1.542e+09,2.9286e-06,21/10/2018
1.542e+09,2.9328e-06,21/10/2018
1.542e+09,2.7609e-06,21/10/2018
1.5421e+09,2.7214e-06,21/10/2018
1.5421e+09,2.7855e-06,21/10/2018
1.5421e+09,3.071e-06,21/10/2018
1.5421e+09,2.9308e-06,21/10/2018
1.5421e+09,2.5234e-06,21/10/2018
1.5421e+09,3.0352e-06,21/10/2018
1.5421e+09,3.1094e-06,21/10/2018
1.5421e+09,3.0914e-06,21/10/2018
1.5421e+09,2.8292e-06,21/10/2018
1.5421e+09,2.6689e-06,21/10/2018
1.5421e+09,2.8782e-06,21/10/2018
1.5421e+09,2.7486e-06,21/10/2018
1.5421e+09,2.6656e-06,21/10/2018
1.5421e+09,2.77e-06,21/10/2018
1.5421e+09,3.1855e-06,21/10/2018
1.5421e+09,2.9414e-06,21/10/2018
1.5421e+09,2.7785e-06,21/10/2018
1.5421e+09,2.9116e-06,21/10/2018
1.5421e+09,2.8767e-06,21/10/2018
1.5421e+09,2.8455e-06,21/10/2018
1.5421e+09,2.5791e-06,21/10/2018
1.5421e+09,2.9152e-06,21/10/2018
1.5421e+09,2.9125e-06,21/10/2018
1.5421e+09,3.0647e-06,21/10/2018
1.5421e+09,3.0904e-06,21/10/2018
1.5421e+09,2.7796e-06,21/10/2018
1.5421e+09,3.0268e-06,21/10/2018
1.5421e+09,2.9473e-06,21/10/2018
1.5421e+09,2.9015e-06,21/10/2018
1.5421e+09,2.7339e-06,21/10/2018
1.5421e+09,3.0131e-06,21/10/2018
1.5421e+09,2.8328e-06,21/10/2018
1.5421e+09,2.8648e-06,21/10/2018
1.5421e+09,2.778e-06,21/10/2018
1.5421e+09,3.0719e-06,21/10/2018
1.5421e+09,3.025e-06,21/10/2018
1.5422e+09,3.0646e-06,21/10/2018
1.5422e+09,2.8405e-06,21/10/2018
1.5422e+09,2.8176e-06,21/10/2018
1.5422e+09,2.6196e-06,21/10/2018
1.5422e+09,3.1826e-06,21/10/2018
1.5422e+09,2.8991e-06,21/10/2018
1.5422e+09,3.0679e-06,21/10/2018
1.5422e+09,2.9986e-06,21/10/2018
1.5422e+09,2.9061e-06,21/10/2018
1.5422e+09,2.8113e-06,21/10/2018
1.5422e+09,2.5749e-06,21/10/2018
1.5422e+09,2.8139e-06,21/10/2018
1.5422e+09,2.6851e-06,21/10/2018
1.5422e+09,2.7762e-06,21/10/2018
1.5422e+09,2.6652e-06,21/10/2018
1.5422e+09,2.9439e-06,21/10/2018
1.5422e+09,3.1849e-06,21/10/2018
1.5422e+09,3.0942e-06,21/10/2018
1.5422e+09,2.6661e-06,21/10/2018
1.5422e+09,2.7951e-06,21/10/2018
1.5422e+09,2.6889e-06,21/10/2018
1.5422e+09,2.7644e-06,21/10/2018
1.5422e+09,2.7531e-06,21/10/2018
1.5422e+09,2.8214e-06,21/10/2018
1.5422e+09,2.7825e-06,21/10/2018
1.5422e+09,2.8664e-06,21/10/2018
1.5422e+09,2.7187e-06,21/10/2018
1.5422e+09,2.8512e-06,21/10/2018
1.5422e+09,2.5712e-06,21/10/2018
1.5422e+09,3.1785e-06,21/10/2018
1.5422e+09,3.1669e-06,21/10/2018
1.5422e+09,2.7755e-06,21/10/2018
1.5422e+09,2.9073e-06,21/10/2018
1.5422e+09,2.9476e-06,21/10/2018
1.5423e+09,2.8573e-06,21/10/2018
1.5423e+09,2.7496e-06,21/10/2018
1.5423e+09,2.7417e-06,21/10/2018
1.5423e+09,2.7167e-06,21/10/2018
1.5423e+09,2.9436e-06,21/10/2018
1.5423e+09,2.7605e-06,21/10/2018
1.5423e+09,2.9193e-06,21/10/2018
1.5423e+09,2.7748e-06,21/10/2018
1.5423e+09,2.7002e-06,21/10/2018
1.5423e+09,3.1468e-06,21/10/2018
1.5423e+09,2.6934e-06,21/10/2018
1.5423e+09,2.8963e-06,21/10/2018
1.5423e+09,2.6736e-06,21/10/2018
1.5423e+09,2.8256e-06,21/10/2018
1.5423e+09,2.8258e-06,21/10/2018
1.5423e+09,3.0095e-06,21/10/2018
1.5423e+09,2.9763e-06,21/10/2018
1.5423e+09,2.6457e-06,21/10/2018
1.5423e+09,2.7546e-06,21/10/2018
1.5423e+09,2.8124e-06,21/10/2018
1.5423e+09,2.8654e-06,21/10/2018
1.5423e+09,2.5955e-06,21/10/2018
1.5423e+09,2.7739e-06,21/10/2018
1.5423e+09,2.9452e-06,21/10/2018
1.5423e+09,2.7011e-06,21/10/2018
1.5423e+09,2.8471e-06,21/10/2018
1.5423e+09,2.7818e-06,21/10/2018
1.5423e+09,3.0037e-06,21/10/2018
1.5423e+09,2.7235e-06,21/10/2018
