diffFlux,Energy,type
3.90071482e+19,4.6137678,Total flux
3.87507907e+19,4.6237738,Total flux
3.84958118e+19,4.6337799,Total flux
3.82434768e+19,4.6437859,Total flux
3.79929939e+19,4.6537919,Total flux
3.77449413e+19,4.6637979,Total flux
3.74990845e+19,4.6738039,Total flux
3.72554049e+19,4.6838099,Total flux
3.70130362e+19,4.6938159,Total flux
3.67717903e+19,4.7038219,Total flux
3.65324948e+19,4.7138279,Total flux
3.62943849e+19,4.7238339,Total flux
3.60570774e+19,4.7338399,Total flux
3.58212913e+19,4.7438459,Total flux
3.5587275e+19,4.7538519,Total flux
3.53550381e+19,4.7638579,Total flux
3.51244113e+19,4.7738639,Total flux
3.48958477e+19,4.7838699,Total flux
3.4668806e+19,4.7938759,Total flux
3.44432436e+19,4.8038819,Total flux
3.42172989e+19,4.8138879,Total flux
3.39916126e+19,4.8238939,Total flux
3.37685445e+19,4.8338999,Total flux
3.35475887e+19,4.8439059,Total flux
3.33278341e+19,4.8539119,Total flux
3.31110166e+19,4.8639179,Total flux
3.28958219e+19,4.8739239,Total flux
3.26812358e+19,4.88393,Total flux
3.24668581e+19,4.893936,Total flux
3.22550146e+19,4.903942,Total flux
3.2044906e+19,4.913948,Total flux
3.1836019e+19,4.923954,Total flux
3.16286386e+19,4.93396,Total flux
3.14229422e+19,4.943966,Total flux
3.12192206e+19,4.953972,Total flux
3.10168488e+19,4.963978,Total flux
3.08162536e+19,4.973984,Total flux
3.06167319e+19,4.98399,Total flux
3.04189175e+19,4.993996,Total flux
3.02222415e+19,5.004002,Total flux
3.00269245e+19,5.014008,Total flux
2.98334296e+19,5.024014,Total flux
2.96412815e+19,5.03402,Total flux
2.94504624e+19,5.044026,Total flux
2.92609954e+19,5.054032,Total flux
2.90727041e+19,5.064038,Total flux
2.88847313e+19,5.074044,Total flux
2.86990506e+19,5.08405,Total flux
2.85147022e+19,5.094056,Total flux
2.83317295e+19,5.104062,Total flux
2.81500196e+19,5.114068,Total flux
2.79696579e+19,5.124074,Total flux
2.7790505e+19,5.1340801,Total flux
2.76124814e+19,5.1440861,Total flux
2.74355021e+19,5.1540921,Total flux
2.72598965e+19,5.1640981,Total flux
2.70855198e+19,5.1741041,Total flux
2.69125935e+19,5.1841101,Total flux
2.67409404e+19,5.1941161,Total flux
2.65706038e+19,5.2041221,Total flux
2.64016426e+19,5.2141281,Total flux
2.62339819e+19,5.2241341,Total flux
2.60678626e+19,5.2341401,Total flux
2.59029221e+19,5.2441461,Total flux
2.57393375e+19,5.2541521,Total flux
2.55768095e+19,5.2641581,Total flux
2.54154673e+19,5.2741641,Total flux
2.52553257e+19,5.2841701,Total flux
2.50962907e+19,5.2941761,Total flux
2.4938454e+19,5.3041821,Total flux
2.47817078e+19,5.3141881,Total flux
2.46262264e+19,5.3241941,Total flux
2.44719922e+19,5.3342001,Total flux
2.43192185e+19,5.3442061,Total flux
2.41677048e+19,5.3542121,Total flux
2.4017591e+19,5.3642181,Total flux
2.38687187e+19,5.3742241,Total flux
2.37211885e+19,5.3842302,Total flux
2.35753887e+19,5.3942362,Total flux
2.34313454e+19,5.4042422,Total flux
2.32889848e+19,5.4142482,Total flux
2.31481543e+19,5.4242542,Total flux
2.30085421e+19,5.4342602,Total flux
2.28704439e+19,5.4442662,Total flux
2.2734411e+19,5.4542722,Total flux
2.26008396e+19,5.4642782,Total flux
2.24701427e+19,5.4742842,Total flux
2.23426496e+19,5.4842902,Total flux
2.22191489e+19,5.4942962,Total flux
2.2100566e+19,5.5043022,Total flux
2.19875584e+19,5.5143082,Total flux
2.18831569e+19,5.5243142,Total flux
2.17901644e+19,5.5343202,Total flux
2.17080004e+19,5.5443262,Total flux
2.1637563e+19,5.5543322,Total flux
2.15813079e+19,5.5643382,Total flux
2.15076399e+19,5.5743442,Total flux
2.13669806e+19,5.5843502,Total flux
2.11809804e+19,5.5943562,Total flux
2.10142453e+19,5.6043622,Total flux
2.08947742e+19,5.6143682,Total flux
2.08344757e+19,5.6243742,Total flux
2.08603979e+19,5.6343803,Total flux
2.0938867e+19,5.6443863,Total flux
2.08297424e+19,5.6543923,Total flux
2.04933828e+19,5.6643983,Total flux
2.0223667e+19,5.6744043,Total flux
2.00018502e+19,5.6844103,Total flux
1.98215033e+19,5.6944163,Total flux
1.96645557e+19,5.7044223,Total flux
1.95220907e+19,5.7144283,Total flux
1.93917681e+19,5.7244343,Total flux
1.92795343e+19,5.7344403,Total flux
1.92153537e+19,5.7444463,Total flux
1.94124896e+19,5.7544523,Total flux
1.95329958e+19,5.7644583,Total flux
1.88894015e+19,5.7744643,Total flux
1.8672302e+19,5.7844703,Total flux
1.8526874e+19,5.7944763,Total flux
1.84009252e+19,5.8044823,Total flux
1.82833067e+19,5.8144883,Total flux
1.81703743e+19,5.8244943,Total flux
1.8060725e+19,5.8345003,Total flux
1.79537264e+19,5.8445063,Total flux
1.784872e+19,5.8545123,Total flux
1.77457922e+19,5.8645183,Total flux
1.76538631e+19,5.8745243,Total flux
1.75471754e+19,5.8845304,Total flux
1.74483168e+19,5.8945364,Total flux
1.73528876e+19,5.9045424,Total flux
1.72590384e+19,5.9145484,Total flux
1.71662717e+19,5.9245544,Total flux
1.70752237e+19,5.9345604,Total flux
1.69862016e+19,5.9445664,Total flux
1.68992567e+19,5.9545724,Total flux
1.68146254e+19,5.9645784,Total flux
1.67326429e+19,5.9745844,Total flux
1.66537391e+19,5.9845904,Total flux
1.65783166e+19,5.9945964,Total flux
1.65062639e+19,6.0046024,Total flux
1.64388711e+19,6.0146084,Total flux
1.63776583e+19,6.0246144,Total flux
1.63196524e+19,6.0346204,Total flux
1.62625066e+19,6.0446264,Total flux
1.62129405e+19,6.0546324,Total flux
1.61690335e+19,6.0646384,Total flux
1.61047629e+19,6.0746444,Total flux
1.60191683e+19,6.0846504,Total flux
1.59330543e+19,6.0946564,Total flux
1.58640568e+19,6.1046624,Total flux
1.58162821e+19,6.1146684,Total flux
1.58020875e+19,6.1246744,Total flux
1.58411711e+19,6.1346805,Total flux
1.587922e+19,6.1446865,Total flux
1.57727225e+19,6.1546925,Total flux
1.56064845e+19,6.1646985,Total flux
1.54875658e+19,6.1747045,Total flux
1.54273201e+19,6.1847105,Total flux
1.55925724e+19,6.1947165,Total flux
1.54459841e+19,6.2047225,Total flux
1.52023713e+19,6.2147285,Total flux
1.51144752e+19,6.2247345,Total flux
1.50556956e+19,6.2347405,Total flux
1.50096528e+19,6.2447465,Total flux
1.49723409e+19,6.2547525,Total flux
1.4942243e+19,6.2647585,Total flux
