diffFlux,Energy,type
3.1910965e+19,6.6149686,Total flux
3.45794598e+19,6.6249746,Total flux
5.23357776e+19,6.6349807,Total flux
5.16252744e+19,6.6449867,Total flux
4.75792932e+19,6.6549927,Total flux
5.16002823e+19,6.6649987,Total flux
4.48715255e+19,6.6750047,Total flux
3.60590467e+19,6.6850107,Total flux
3.031145e+19,6.6950167,Total flux
2.64315561e+19,6.7050227,Total flux
2.38797193e+19,6.7150287,Total flux
2.19474473e+19,6.7250347,Total flux
2.03674765e+19,6.7350407,Total flux
1.90207501e+19,6.7450467,Total flux
1.78591085e+19,6.7550527,Total flux
1.68648999e+19,6.7650587,Total flux
1.60084247e+19,6.7750647,Total flux
1.52712834e+19,6.7850707,Total flux
1.46310649e+19,6.7950767,Total flux
1.40763218e+19,6.8050827,Total flux
1.35904957e+19,6.8150887,Total flux
1.31624259e+19,6.8250947,Total flux
1.2784595e+19,6.8351007,Total flux
1.24473342e+19,6.8451067,Total flux
1.21453429e+19,6.8551127,Total flux
1.18741908e+19,6.8651187,Total flux
1.16237178e+19,6.8751247,Total flux
1.13961882e+19,6.8851308,Total flux
1.13123906e+19,6.8951368,Total flux
1.10155603e+19,6.9051428,Total flux
1.08241606e+19,6.9151488,Total flux
1.06640462e+19,6.9251548,Total flux
1.05116581e+19,6.9351608,Total flux
1.03663158e+19,6.9451668,Total flux
1.02292948e+19,6.9551728,Total flux
1.00971378e+19,6.9651788,Total flux
9.96956889e+18,6.9751848,Total flux
9.84769788e+18,6.9851908,Total flux
