 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC  APmag  S-brt Ob-lon Ob-lat    S-O-T /r    S-T-O     PlAng
*********************************************************************************************************
 2014-Oct-20 16:00   13 40 08.46 -10 23 52.3 -26.75 -10.59 285.21   5.45   0.0000 /?   0.0000      n.a.
 2014-Oct-20 17:00   13 40 17.86 -10 24 45.8 -26.75 -10.59 284.66   5.45   0.0000 /?   0.0000      n.a.
 2014-Oct-20 18:00   13 40 27.30 -10 25 39.2 -26.75 -10.59 284.11   5.44   0.0000 /?   0.0000      n.a.
 2014-Oct-20 19:00   13 40 36.76 -10 26 32.6 -26.75 -10.59 283.56   5.44   0.0000 /?   0.0000      n.a.
 2014-Oct-20 20:00   13 40 46.25 -10 27 26.1 -26.75 -10.59 283.01   5.44   0.0000 /?   0.0000      n.a.
 2014-Oct-20 21:00   13 40 55.77 -10 28 19.5 -26.75 -10.59 282.46   5.43   0.0000 /?   0.0000      n.a.
 2014-Oct-20 22:00   13 41 05.30 -10 29 13.1 -26.75 -10.59 281.91   5.43   0.0000 /?   0.0000      n.a.
 2014-Oct-20 23:00   13 41 14.84 -10 30 06.6 -26.75 -10.59 281.36   5.42   0.0000 /?   0.0000      n.a.
 2014-Oct-21 00:00   13 41 24.39 -10 31 00.3 -26.75 -10.59 280.81   5.42   0.0000 /?   0.0000      n.a.
 2014-Oct-21 01:00   13 41 33.93 -10 31 54.0 -26.75 -10.59 280.26   5.42   0.0000 /?   0.0000      n.a.
 2014-Oct-21 02:00   13 41 43.46 -10 32 47.7 -26.75 -10.59 279.71   5.41   0.0000 /?   0.0000      n.a.
 2014-Oct-21 03:00   13 41 52.98 -10 33 41.5 -26.75 -10.59 279.16   5.41   0.0000 /?   0.0000      n.a.
 2014-Oct-21 04:00   13 42 02.47 -10 34 35.3 -26.75 -10.59 278.61   5.41   0.0000 /?   0.0000      n.a.
 2014-Oct-21 05:00   13 42 11.94 -10 35 29.1 -26.75 -10.59 278.07   5.40   0.0000 /?   0.0000      n.a.
 2014-Oct-21 06:00   13 42 21.38 -10 36 23.0 -26.75 -10.59 277.52   5.40   0.0000 /?   0.0000      n.a.
 2014-Oct-21 07:00   13 42 30.79 -10 37 16.7 -26.75 -10.59 276.97   5.40   0.0000 /?   0.0000      n.a.
 2014-Oct-21 08:00   13 42 40.18 -10 38 10.5 -26.75 -10.59 276.42   5.39   0.0000 /?   0.0000      n.a.
 2014-Oct-21 09:00   13 42 49.55 -10 39 04.2 -26.75 -10.59 275.87   5.39   0.0000 /?   0.0000      n.a.
 2014-Oct-21 10:00   13 42 58.90 -10 39 57.8 -26.75 -10.59 275.32   5.39   0.0000 /?   0.0000      n.a.
 2014-Oct-21 11:00   13 43 08.25 -10 40 51.3 -26.75 -10.59 274.77   5.38   0.0000 /?   0.0000      n.a.
 2014-Oct-21 12:00   13 43 17.59 -10 41 44.7 -26.75 -10.59 274.22   5.38   0.0000 /?   0.0000      n.a.
 2014-Oct-21 13:00   13 43 26.94 -10 42 38.0 -26.75 -10.59 273.67   5.38   0.0000 /?   0.0000      n.a.
 2014-Oct-21 14:00   13 43 36.30 -10 43 31.2 -26.75 -10.59 273.12   5.37   0.0000 /?   0.0000      n.a.
 2014-Oct-21 15:00   13 43 45.68 -10 44 24.4 -26.75 -10.59 272.57   5.37   0.0000 /?   0.0000      n.a.
 2014-Oct-21 16:00   13 43 55.09 -10 45 17.5 -26.75 -10.59 272.02   5.37   0.0000 /?   0.0000      n.a.
 2014-Oct-21 17:00   13 44 04.52 -10 46 10.5 -26.75 -10.59 271.47   5.36   0.0000 /?   0.0000      n.a.
 2014-Oct-21 18:00   13 44 13.99 -10 47 03.6 -26.75 -10.59 270.92   5.36   0.0000 /?   0.0000      n.a.
 2014-Oct-21 19:00   13 44 23.48 -10 47 56.6 -26.75 -10.59 270.37   5.36   0.0000 /?   0.0000      n.a.
 2014-Oct-21 20:00   13 44 33.00 -10 48 49.6 -26.75 -10.59 269.82   5.35   0.0000 /?   0.0000      n.a.
 2014-Oct-21 21:00   13 44 42.54 -10 49 42.7 -26.75 -10.59 269.27   5.35   0.0000 /?   0.0000      n.a.
 2014-Oct-21 22:00   13 44 52.10 -10 50 35.8 -26.75 -10.59 268.72   5.34   0.0000 /?   0.0000      n.a.
 2014-Oct-21 23:00   13 45 01.67 -10 51 29.0 -26.75 -10.59 268.17   5.34   0.0000 /?   0.0000      n.a.
 2014-Oct-22 00:00   13 45 11.24 -10 52 22.2 -26.75 -10.59 267.62   5.34   0.0000 /?   0.0000      n.a.
 2014-Oct-22 01:00   13 45 20.81 -10 53 15.5 -26.75 -10.59 267.07   5.33   0.0000 /?   0.0000      n.a.
 2014-Oct-22 02:00   13 45 30.37 -10 54 08.9 -26.75 -10.59 266.52   5.33   0.0000 /?   0.0000      n.a.
 2014-Oct-22 03:00   13 45 39.92 -10 55 02.3 -26.75 -10.59 265.98   5.33   0.0000 /?   0.0000      n.a.
 2014-Oct-22 04:00   13 45 49.44 -10 55 55.7 -26.75 -10.59 265.43   5.32   0.0000 /?   0.0000      n.a.
 2014-Oct-22 05:00   13 45 58.93 -10 56 49.1 -26.75 -10.59 264.88   5.32   0.0000 /?   0.0000      n.a.
 2014-Oct-22 06:00   13 46 08.40 -10 57 42.6 -26.75 -10.59 264.33   5.32   0.0000 /?   0.0000      n.a.
 2014-Oct-22 07:00   13 46 17.84 -10 58 36.0 -26.75 -10.59 263.78   5.31   0.0000 /?   0.0000      n.a.
 2014-Oct-22 08:00   13 46 27.26 -10 59 29.3 -26.75 -10.59 263.23   5.31   0.0000 /?   0.0000      n.a.
 2014-Oct-22 09:00   13 46 36.65 -11 00 22.6 -26.75 -10.59 262.68   5.30   0.0000 /?   0.0000      n.a.
 2014-Oct-22 10:00   13 46 46.04 -11 01 15.8 -26.75 -10.59 262.13   5.30   0.0000 /?   0.0000      n.a.
 2014-Oct-22 11:00   13 46 55.41 -11 02 08.9 -26.75 -10.59 261.58   5.30   0.0000 /?   0.0000      n.a.
 2014-Oct-22 12:00   13 47 04.78 -11 03 01.9 -26.75 -10.59 261.03   5.29   0.0000 /?   0.0000      n.a.
 2014-Oct-22 13:00   13 47 14.16 -11 03 54.8 -26.75 -10.59 260.48   5.29   0.0000 /?   0.0000      n.a.
 2014-Oct-22 14:00   13 47 23.55 -11 04 47.7 -26.75 -10.59 259.93   5.29   0.0000 /?   0.0000      n.a.
 2014-Oct-22 15:00   13 47 32.96 -11 05 40.4 -26.75 -10.59 259.38   5.28   0.0000 /?   0.0000      n.a.
 2014-Oct-22 16:00   13 47 42.39 -11 06 33.1 -26.75 -10.59 258.83   5.28   0.0000 /?   0.0000      n.a.
 2014-Oct-22 17:00   13 47 51.85 -11 07 25.7 -26.75 -10.59 258.28   5.28   0.0000 /?   0.0000      n.a.
 2014-Oct-22 18:00   13 48 01.35 -11 08 18.3 -26.75 -10.59 257.73   5.27   0.0000 /?   0.0000      n.a.
 2014-Oct-22 19:00   13 48 10.87 -11 09 10.9 -26.75 -10.59 257.18   5.27   0.0000 /?   0.0000      n.a.
 2014-Oct-22 20:00   13 48 20.41 -11 10 03.5 -26.75 -10.59 256.63   5.27   0.0000 /?   0.0000      n.a.
 2014-Oct-22 21:00   13 48 29.98 -11 10 56.2 -26.75 -10.59 256.08   5.26   0.0000 /?   0.0000      n.a.
 2014-Oct-22 22:00   13 48 39.57 -11 11 48.9 -26.75 -10.59 255.53   5.26   0.0000 /?   0.0000      n.a.
 2014-Oct-22 23:00   13 48 49.17 -11 12 41.7 -26.75 -10.59 254.98   5.25   0.0000 /?   0.0000      n.a.
 2014-Oct-23 00:00   13 48 58.77 -11 13 34.5 -26.75 -10.59 254.43   5.25   0.0000 /?   0.0000      n.a.
 2014-Oct-23 01:00   13 49 08.37 -11 14 27.4 -26.75 -10.59 253.88   5.25   0.0000 /?   0.0000      n.a.
 2014-Oct-23 02:00   13 49 17.96 -11 15 20.3 -26.75 -10.59 253.34   5.24   0.0000 /?   0.0000      n.a.
 2014-Oct-23 03:00   13 49 27.53 -11 16 13.3 -26.75 -10.59 252.79   5.24   0.0000 /?   0.0000      n.a.
 2014-Oct-23 04:00   13 49 37.08 -11 17 06.3 -26.75 -10.59 252.24   5.24   0.0000 /?   0.0000      n.a.
 2014-Oct-23 05:00   13 49 46.60 -11 17 59.4 -26.75 -10.59 251.69   5.23   0.0000 /?   0.0000      n.a.
 2014-Oct-23 06:00   13 49 56.10 -11 18 52.4 -26.75 -10.59 251.14   5.23   0.0000 /?   0.0000      n.a.
 2014-Oct-23 07:00   13 50 05.57 -11 19 45.4 -26.75 -10.59 250.59   5.22   0.0000 /?   0.0000      n.a.
 2014-Oct-23 08:00   13 50 15.02 -11 20 38.3 -26.75 -10.59 250.04   5.22   0.0000 /?   0.0000      n.a.
 2014-Oct-23 09:00   13 50 24.44 -11 21 31.2 -26.75 -10.59 249.49   5.22   0.0000 /?   0.0000      n.a.
